list,name,desc,labels,estimate_md
P1 Powiadomienia,NTF-I7-SLA: Usterka krytyczna: push do dyspozytora i zegar SLA 48h,Wymaganie NTF-I7-SLA. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P2 Bezpieczeństwo i RODO,SEC-AUDIT-LOG: Dziennik zdarzeń: zapis operacji,Wymaganie SEC-AUDIT-LOG. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUDIT-LOG-APPEND-ONLY: Dziennik nieusuwalny na poziomie bazy,Wymaganie SEC-AUDIT-LOG-APPEND-ONLY. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUDIT-LOG-DELETE: Rejestrowanie usunięć,Wymaganie SEC-AUDIT-LOG-DELETE. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUDIT-LOG-ROLE-CHANGE: Rejestrowanie zmian ról,Wymaganie SEC-AUDIT-LOG-ROLE-CHANGE. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUDIT-LOG-MANUAL-STATUS: Rejestrowanie ręcznych zmian statusu,Wymaganie SEC-AUDIT-LOG-MANUAL-STATUS. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUTHZ-B2B-READS: Autoryzacja odczytów w panelu,Wymaganie SEC-AUTHZ-B2B-READS. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-AUTHZ-USER-MGMT: Autoryzacja zarządzania użytkownikami,Wymaganie SEC-AUTHZ-USER-MGMT. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-ASSIGNMENT-POOL-MINIMIZE: Minimalizacja danych w puli przydziału,Wymaganie SEC-ASSIGNMENT-POOL-MINIMIZE. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-SSO-GUARD: Bramka logowania Google SSO,Wymaganie SEC-SSO-GUARD. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-LAST-ADMIN-GUARD: Nie można usunąć ostatniego administratora,Wymaganie SEC-LAST-ADMIN-GUARD. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-EMAIL-CASE-NORMALIZE: Normalizacja wielkości liter w adresach e-mail,Wymaganie SEC-EMAIL-CASE-NORMALIZE. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,SEC-RODO-DELETE: Realizacja wniosku o usunięcie danych,Wymaganie SEC-RODO-DELETE. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,CRM-DELETE-ADMIN-ONLY: Usuwanie rekordów tylko dla administratora,Wymaganie CRM-DELETE-ADMIN-ONLY. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,CRM-DELETE-ADMIN-ONLY-CLIENTS: Usuwanie klientów tylko dla administratora,Wymaganie CRM-DELETE-ADMIN-ONLY-CLIENTS. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P2 Bezpieczeństwo i RODO,CRM-CLIENT-ANONYMIZE-RODO: Anonimizacja klienta zamiast usunięcia,Wymaganie CRM-CLIENT-ANONYMIZE-RODO. Strumień P2 Bezpieczeństwo i RODO. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p2,
P3 Lejek i dokumenty,FNL-E1-E2: Przejście: nowy lead do oczekiwania na audyt,Wymaganie FNL-E1-E2. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E2-E3: Wysłanie wyceny po audycie,Wymaganie FNL-E2-E3. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E3-E4: Akceptacja wyceny i rezerwacja montażu,Wymaganie FNL-E3-E4. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E3-BUCKET: Kubełek leadów po wycenie,Wymaganie FNL-E3-BUCKET. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E4-E5: Przydzielenie ekipy i zamówienie sprzętu,Wymaganie FNL-E4-E5. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E6-E7: Doręczenie sprzętu: webhook kuriera lub akcja dyspozytora,Wymaganie FNL-E6-E7. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-E7-E8: Zamknięcie montażu przez montera,Wymaganie FNL-E7-E8. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-NO-ILLEGAL-TRANSITIONS: Brak nielegalnych przejść w lejku,Wymaganie FNL-NO-ILLEGAL-TRANSITIONS. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-2PHASE: Montaż dwuetapowy: tryb ustawiany przez audytora,Wymaganie FNL-2PHASE. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-ROLLBACK-BOOKING-RELEASE: Rollback zwalnia zarezerwowany termin,Wymaganie FNL-ROLLBACK-BOOKING-RELEASE. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-ROLLBACK-EXIT: Wybór nowego terminu wraca do E4,Wymaganie FNL-ROLLBACK-EXIT. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,SLA-QUOTE-14D: Okno ważności wyceny 14 dni w jednym miejscu,Wymaganie SLA-QUOTE-14D. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,FNL-ADVANCE-STATUS-CONTRACT-BOUND: Status zaliczki związany z kontraktem,Wymaganie FNL-ADVANCE-STATUS-CONTRACT-BOUND. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P3 Lejek i dokumenty,"DOC-PDF-RENDER: Wspólny silnik PDF: protokół, umowa, oferta",Wymaganie DOC-PDF-RENDER. Strumień P3 Lejek i dokumenty. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p3,
P4 Wycena i cennik,"PRICE-LIST-SCHEMA: Tabela cennika: koszt zakupu osobno od ceny sprzedaży, wersje cen",Wymaganie PRICE-LIST-SCHEMA. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,PRICE-LIST-IMPORT: Import 39 pozycji z arkusza (docs/architecture/cennik-robocizny.csv),Wymaganie PRICE-LIST-IMPORT. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,PRICE-LIST-ADMIN: Ekran /settings/pricing w panelu B2B,Wymaganie PRICE-LIST-ADMIN. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,STD-INSTALL-CONFIG: Ekran /settings/standard-installation: montaż standardowy z pozycji cennika,Wymaganie STD-INSTALL-CONFIG. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,"PRICE-VAT-RATE: Stawka VAT z obiektu: mieszkalny do 300 m2 = 8%, powyżej = 23%, usługowy = 23%",Wymaganie PRICE-VAT-RATE. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,B2C-TRIAGE-PRICE-FROM-PRICE-LIST: Triage liczy z tego samego cennika; koniec z literałem 1200 zł,Wymaganie B2C-TRIAGE-PRICE-FROM-PRICE-LIST. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,"FLD-QUOTE-VARIANTS: Oferta z 1-3 wariantami, tabela quotes",Wymaganie FLD-QUOTE-VARIANTS. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,"FLD-QUOTE-CALC: Silnik wyceny: pozycje x ilości, marża, kwota zaliczki wg D8",Wymaganie FLD-QUOTE-CALC. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,"FLD-QUOTE-MANUAL-ITEM: Pozycja indywidualna poza cennikiem (stelaż, zwyżka)",Wymaganie FLD-QUOTE-MANUAL-ITEM. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P4 Wycena i cennik,FLD-QUOTE-PRICE-SNAPSHOT: Oferta pamięta ceny z dnia wystawienia,Wymaganie FLD-QUOTE-PRICE-SNAPSHOT. Strumień P4 Wycena i cennik. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p4,
P5 Field App,"FLD-APP-SHELL: Aplikacja Expo: nawigacja, układ na telefon, logowanie",Wymaganie FLD-APP-SHELL. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-API-LAYER: Route Handlery z can() i Prismą, idempotencja (ADR-013)",Wymaganie FLD-API-LAYER. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-APP-DISTRIBUTION: EAS Build/Update, TestFlight, Play Console",Wymaganie FLD-APP-DISTRIBUTION. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-MOBILE-TEST-HARNESS: Jest + RNTL, E2E Maestro, wpięcie w bramkę CI",Wymaganie FLD-MOBILE-TEST-HARNESS. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-AUTH-BLOCKED: Blokada konta odcina dostęp natychmiast,Wymaganie FLD-AUTH-BLOCKED. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-JOBS-OWN: Lista zleceń zawężona do pracownika, fail-closed",Wymaganie FLD-JOBS-OWN. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-CONSENT-ACCEPT: Rejestracja akceptacji dokumentów przez pracownika,Wymaganie FLD-CONSENT-ACCEPT. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-LEGAL-DOC-VERSION: Wersjonowanie dokumentów prawnych pracownika,Wymaganie FLD-LEGAL-DOC-VERSION. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-CONSENT-ENFORCE: Brak zgód blokuje rozpoczęcie zlecenia,Wymaganie FLD-CONSENT-ENFORCE. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-CONSENT-TRIGGERS-INTEGRATION: Testy mechanizmów zgód na żywym Postgresie (powód blokady nieaktualny),Wymaganie FLD-CONSENT-TRIGGERS-INTEGRATION. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-BASE-LOCATION-EDIT: Edycja lokalizacji bazowej przez pracownika,Wymaganie FLD-BASE-LOCATION-EDIT. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-CHECKLIST-PREINSTALL: Checklista przedmontażowa,Wymaganie FLD-CHECKLIST-PREINSTALL. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-PHOTO-SET: Zestaw zdjęć 4+2n; etap I: trasy i manometr azotu,Wymaganie FLD-PHOTO-SET. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-PHOTO-STORAGE: Osobny bucket i polityki dla zdjęć montażowych,Wymaganie FLD-PHOTO-STORAGE. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-PHOTO-UPLOAD-RESILIENT: Kompresja i ponawianie wysyłki bez duplikatów,Wymaganie FLD-PHOTO-UPLOAD-RESILIENT. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-OFFLINE-OUTBOX: Szkic lokalny i kolejka wysyłki (expo-sqlite),Wymaganie FLD-OFFLINE-OUTBOX. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-HANDOVER-PROTOCOL: Protokół odbioru: numery seryjne, parametry prób liczbowo",Wymaganie FLD-HANDOVER-PROTOCOL. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-INSTALL-PAYOUT-APPROVAL: Zatwierdzenie odbioru do wypłaty ekipy,Wymaganie FLD-INSTALL-PAYOUT-APPROVAL. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-GEO-COORDS: Współrzędne adresów,Wymaganie FLD-GEO-COORDS. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-GEO-UNLOCK: Odblokowanie akcji w promieniu 20 m,Wymaganie FLD-GEO-UNLOCK. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,"FLD-GEO-EN-ROUTE: SMS w drodze przy 3 km, geolokalizacja w tle",Wymaganie FLD-GEO-EN-ROUTE. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-GPS-RODO: Zgodność RODO dla danych lokalizacyjnych,Wymaganie FLD-GPS-RODO. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-AUDIT-FORM: Formularz audytu pomieszczenie po pomieszczeniu,Wymaganie FLD-AUDIT-FORM. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-AUDIT-INSTALL-TYPE: Audytor ustawia tryb montażu,Wymaganie FLD-AUDIT-INSTALL-TYPE. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-AUDIT-LEAD-CREATE: Audytor zakłada leada (drugie wejście do lejka),Wymaganie FLD-AUDIT-LEAD-CREATE. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P5 Field App,FLD-QUOTE-BASKET-SELECT-AUDITOR: Wybór koszyka czasu przez audytora,Wymaganie FLD-QUOTE-BASKET-SELECT-AUDITOR. Strumień P5 Field App. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p5,
P6 Podpis elektroniczny,FLD-SIGN-DOC-FREEZE: Zamrożenie wersji dokumentu przed podpisem,Wymaganie FLD-SIGN-DOC-FREEZE. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,FLD-SIGN-CAPTURE: Podpis palcem na telefonie (Skia),Wymaganie FLD-SIGN-CAPTURE. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,"FLD-SIGN-AUDIT-TRAIL: Ślad append-only z łańcuchem skrótów, karta podpisu",Wymaganie FLD-SIGN-AUDIT-TRAIL. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,FLD-SIGN-TSA: Kwalifikowany znacznik czasu z EuroCert (RFC 3161),Wymaganie FLD-SIGN-TSA. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,"FLD-SIGN-REMOTE: Publiczna strona podpisu: token jednorazowy, wygasający",Wymaganie FLD-SIGN-REMOTE. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,FLD-SIGN-REMOTE-OTP: Obowiązkowy kod SMS przy podpisie zdalnym,Wymaganie FLD-SIGN-REMOTE-OTP. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,FLD-SIGN-DELIVERY-PROOF: Zdarzenie delivery z Mailtrap jako dowód,Wymaganie FLD-SIGN-DELIVERY-PROOF. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,"FLD-SIGN-ABUSE-GUARD: Limit prób, ochrona przed enumeracją tokenów",Wymaganie FLD-SIGN-ABUSE-GUARD. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,FLD-SIGN-DURABLE-COPY: Kopia na trwałym nośniku dla klienta,Wymaganie FLD-SIGN-DURABLE-COPY. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P6 Podpis elektroniczny,DOC-LEGAL-VERSION-REGISTRY: Rejestr wersji dokumentów klienta w bazie,Wymaganie DOC-LEGAL-VERSION-REGISTRY. Strumień P6 Podpis elektroniczny. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p6,
P7 Faktury i płatności,INV-PROFORMA: Proforma lub wezwanie do zapłaty przed wpłatą,Wymaganie INV-PROFORMA. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P7 Faktury i płatności,"INV-ADVANCE-AUTO: Faktura zaliczkowa automatycznie po wpłacie, idempotentnie",Wymaganie INV-ADVANCE-AUTO. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P7 Faktury i płatności,"INV-FINAL: Faktura rozliczeniowa przy T09, nigdy przy T17",Wymaganie INV-FINAL. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P7 Faktury i płatności,FNL-2PHASE-INVOICE: Przepisanie: rozliczenie po etapie II,Wymaganie FNL-2PHASE-INVOICE. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P7 Faktury i płatności,FLD-CONTRACT-GENERATE: Umowa z oferty na wzorze z docs/legal/,Wymaganie FLD-CONTRACT-GENERATE. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P7 Faktury i płatności,"PAY-DEPOSIT-LINK: Link do płatności, PayU, idempotentny webhook",Wymaganie PAY-DEPOSIT-LINK. Strumień P7 Faktury i płatności. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p7,
P8 B2C,B2C-LEAD-ENTRY: Wejście do lejka; po D14 także ścieżka audytora,Wymaganie B2C-LEAD-ENTRY. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-LEAD-ATOMIC: Atomowe zakładanie leada,Wymaganie B2C-LEAD-ATOMIC. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-CONSENT-RODO: Zgoda RODO z wersją regulaminu,Wymaganie B2C-CONSENT-RODO. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-RLS-PUBLIC: Polityki RLS dla ruchu publicznego,Wymaganie B2C-RLS-PUBLIC. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-TRIAGE-STEPS: Kroki Triage,Wymaganie B2C-TRIAGE-STEPS. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-TRIAGE-CONDITIONAL: Logika warunkowa Triage,Wymaganie B2C-TRIAGE-CONDITIONAL. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
P8 B2C,B2C-SOFT-LEAD: Soft lead z exit intent,Wymaganie B2C-SOFT-LEAD. Strumień P8 B2C. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p8,
